riddle,answer
I am a block of code that runs multiple times.,loop
I am the result when a variable is empty and without value,null
I am a set of instructions. What am I?,algorithm
I store True or False. What am I?,boolean
I am a data type that stores letters. ,string
I am a small square that make up digital displays,pixel
I start with // and I’m ignored,comment
"I am a character used to hold parameters, what am I?",bracket
I returns the remainder of a division problem.,modulo
"I hold many items in a single name, and am a data type.",array
"I only have two possible states, one or zero.",binary
I can be named anything and perform any operations.,function
I mark the end of a statement in some languages (i.e. js).,semicolon
I stop any written code that is after me. What am I?,return
I am the action of combining two strings into one.,concatenation
